Code,Article,Description,Price ,Department
26683,10672622,LLPX-MY REALLY REAL S2 BIRD N CAGE 26683,"559,900 ",GIRLS CONSIGNMENT
26678,10672620,LLPX-MY PETS HOME S3 PLAYSET KITTY 26678,"599,900 ",GIRLS CONSIGNMENT
24901,10673674,,"279,900 ",BOYS CONSIGNMENT
24903,10673675,,"549,900 ",BOYS CONSIGNMENT
24910,10673676,,"999,900 ",BOYS CONSIGNMENT
92125,10668518,RNBC-RAINBOCORNS EGGZANIA 2 PLUSH 92125, - ,GIRLS CONSIGNMENT
92120,10668516,RNBC-RAINBOCORNS SPARKLEHEART 1 AX 92120,"229,900 ",GIRLS CONSIGNMENT
92119,10668515,RNBC-RAINBOCORNS EGGZANIA 1 FROZEN 92119,"379,900 ",GIRLS CONSIGNMENT
92121,10668517,RNBC-RAINBOCORNS MAMACORN 1 PLUSH 92121,"579,900 ",GIRLS CONSIGNMENT
5020,10671951,EMCX-DISNEY PRINCESS COLORING PENCILCASE,"49,900 ",EDUCATION CONSIGNMENT
JFM93,10672751,HOTW-DIECAST EAM TRAN RALLY HAULER JFM93,"309,900 ",BOYS CONSIGNMENT
RTNGEXPGRS,10670921,NATO-COMPLETELY GROSS CHEMISTRY SET CR,"799,900 ",EDUCATION CONSIGNMENT
HYV24,10670348,BARB-DELUXE STYLE ASSORTMENT HYV24,"349,900 ",GIRLS CONSIGNMENT
HYV24DS,10672392,BARB-DELUXE FASHION DOLL ASST HYV24DS,"349,900 ",GIRLS CONSIGNMENT
JHF01,10672750,HOTW-DIECAST REPLAY CLASSIC 80TH JHF01,"379,900 ",BOYS CONSIGNMENT
JGK09,10672649,HOTW-DIECAST SILVER 80TH ANNIV JGK09,"419,900 ",BOYS CONSIGNMENT
JCT92,10672648,HOTW-DIECAST SILVER FAST N FARIOUS JCT92,"599,900 ",BOYS CONSIGNMENT
JGK22,10670347,POLP-NOSTALGIC 80TH ANNIVERSARY JGK22, - ,GIRLS CONSIGNMENT
JCR71,10670850,BARB-PROFESSIONS DOLLNPLAYSET ASST JCR71,"349,900 ",GIRLS CONSIGNMENT
JFD12,10670613,HOTW-HW STUNT TRACKS MID AIR CRASH JFD12,"899,900 ",BOYS CONSIGNMENT
JGK11,10670735,MATT-MAGIC 8 BALL 80TH ANNIVERSARY JGK11, - ,FAMILY FUN CONSIGNMENT
6072634,10672983,SPMA-BEAT THE PARENTS LETS ROLL 6072634,"529,900 ",FAMILY FUN CONSIGNMENT
JGD25,10670734,BARB-80TH ANNIVERSARY RED DOLL JGD25, - ,GIRLS CONSIGNMENT
8020,10670097,EMCX-KIX BRIX 8020, - ,FAMILY FUN CONSIGNMENT
JGF12,10669453,FICE-FP 1988 MEDICAL KIT JGF12,"499,900 ",BABIES CONSIGNMENT
JDW41,10670064,HOTW-HW TC STRAIGHT TRACK PACK JDW41,"54,900 ",BOYS CONSIGNMENT
JDW43,10670065,HOTW-HW TC CAR AND TRAC START PACK JDW43,"199,900 ",BOYS CONSIGNMENT
JDW39,10670063,HOTW-HW TC TRIPLE LOOP SPEED KIT JDW39,"559,900 ",BOYS CONSIGNMENT
JGB61,10670066,JRWD-LGCY COLLECT REIMAGINED DINO JGB61,"1,199,900 ",BOYS CONSIGNMENT
6068288,10672982,SPMA-HEDBANZ CORE WHAT AM I 6068288,"299,900 ",FAMILY FUN CONSIGNMENT
RTTUBEV,10670916,NATO-RTTUBEV COLOR CHANGING ERUPTION C,"149,900 ",EDUCATION CONSIGNMENT
RTNGCRYSGIDCRD,10670915,NATO-CRYSTAL GROW POWDER GLOW IN DARK C,"149,900 ",EDUCATION CONSIGNMENT
RTNGMDIGCHEST,10467759,NATO-IMPULS TREASU MINIDIG KITRTNG16,"149,900 ",EDUCATION CONSIGNMENT
RTNGVOLCANO2,10467754,NATO-NATGEO VOLCAN SCIENKIT RTNGVOLCANO2,"229,900 ",EDUCATION CONSIGNMENT
RTNGGEM,10670917,NATO-GEMSTONE DIG KIT C,"229,900 ",EDUCATION CONSIGNMENT
RTNGGIDCRYSTAL,10671259,NATO-GLOW IN DARK CRYSTAL GROWING LAB CR,"229,900 ",EDUCATION CONSIGNMENT
RTNGSLIME,10467756,NATO-GLOW THE DARKSLIME RTNG12 RTNGSLIME,"229,900 ",EDUCATION CONSIGNMENT
RTCHEMSPY,10670918,NATO-SECRET MESSAGE SCIENCE LAB DG F,"229,900 ",EDUCATION CONSIGNMENT
RTNGRM15,10467755,NATO-ROCK MINERA STARTKITRTNG10 RTNGRM15,"279,900 ",EDUCATION CONSIGNMENT
RTNGGEO5,10670919,NATO-5PC GEODE KIT CR,"749,900 ",EDUCATION CONSIGNMENT
RTNGEXPEARTH,10670920,NATO-EARTH SCIENCE KIT CR,"749,900 ",EDUCATION CONSIGNMENT
JGK30,10669254,UNOX-80TH ANNIVERSARY JGK30,"114,900 ",FAMILY FUN CONSIGNMENT
67800NB,10664662,0,"199,900 ",GIRLS CONSIGNMENT
6072910,10665924,DRAG-MINI PLUSH 3 ASS 74400 6072910,"279,900 ",BOYS CONSIGNMENT
6072913,10665925,DRAG-HUG N GLID TOOTH 74401 6072913,"599,900 ",BOYS CONSIGNMENT
1898,10667349,EMCO- POCKETTITAN BLISTER 1898,"49,900 ",BOYS CONSIGNMENT
JFM72,10664254,0,"179,900 ",GIRLS CONSIGNMENT
CKV15,10664253,0,"299,900 ",GIRLS CONSIGNMENT
92120,10668516,RNBC-RAINBOCORNS SPARKLEHEART 1 AX 92120,"229,900 ",GIRLS CONSIGNMENT
92119,10668515,RNBC-RAINBOCORNS EGGZANIA 1 FROZEN 92119,"379,900 ",GIRLS CONSIGNMENT
92121,10668517,RNBC-RAINBOCORNS MAMACORN 1 PLUSH 92121,"579,900 ",GIRLS CONSIGNMENT
37575,10667375,CLMA-STACK D HEISHI EXPANSION PACK 37575,"229,900 ",GIRLS CONSIGNMENT
37573,10667374,CLMA-STACK D HEISHI BRACELETSTUDIO 37573,"529,900 ",GIRLS CONSIGNMENT
6072462,10667610,JRWD-HATCHING DINO 69400 6072462,"1,999,900 ",BOYS CONSIGNMENT
23570,10667196,COMR-YUM YUMZ SPK S2 CDU 23570,"129,900 ",GIRLS CONSIGNMENT
23571,10667197,COMR-YUM YUMZ 2PK S2 CDU 23571,"239,900 ",GIRLS CONSIGNMENT
1272,10665857,EMCX-UNICONES COTTON CANDY 1272,"79,900 ",GIRLS CONSIGNMENT
24779,10667198,BEAST LAB-S3 HYPER FUS SINGLE PACK 24779,"59,900 ",BOYS CONSIGNMENT
24782,10667199,BEAST LAB-S3 HYPER FUS TUBE 3 PACK 24782,"149,900 ",BOYS CONSIGNMENT
24892,10667203,BEAST LAB-S3 HYPER FUS STRTR PACK 24892,"249,900 ",BOYS CONSIGNMENT
24784,10667200,BEAST LAB-S3 HYPER FUS LAB 6 PACK 24784,"269,900 ",BOYS CONSIGNMENT
24796,10667205,BEAST LAB-STRETCHY HERO S3 W1 24796,"399,900 ",BOYS CONSIGNMENT
24785,10667201,BEAST LAB-S3 HY FUS MEGA L 14 PACK 24785,"499,900 ",BOYS CONSIGNMENT
25006,10667206,BEAST LAB-S2 HY FUS MUTATION CHAMB 25006,"599,900 ",BOYS CONSIGNMENT
24805,10667202,BEAST LAB-PLATINUM S2 COLLEC FIG 24805,"649,900 ",BOYS CONSIGNMENT
25011,10667204,BEAST LAB-S3 HYPER FUS CHAOS PACK 25011,"649,900 ",BOYS CONSIGNMENT
JBK11,10663860,HOTW MT R/C 1:24 RHINOMITE,"499,900 ",BOYS CONSIGNMENT
HNV03,10663857,HOTW MT R/C 1:24 TIGER SHARK,"499,900 ",BOYS CONSIGNMENT
HTP15,10663858,HOTW MT GLOW IN THE DARK R/C 1:15 GUNKST,"999,900 ",BOYS CONSIGNMENT
HWW53,10663859,HOTW MT R/C 1:15 MEGA WREX ALIVE,"1,199,900 ",BOYS CONSIGNMENT
JFR39,10663861,HOTW MT R/C 1:15 TIGER SHARK CLIMBER,"1,199,900 ",BOYS CONSIGNMENT
HFG54,10663862,JRWD HAMMOND COLLECTION ACT FIGURE ASST,"379,900 ",BOYS CONSIGNMENT
JCH08,10663863,JRWD HAMMOND COLLECTION STEGOSAURUS,"1,199,900 ",BOYS CONSIGNMENT
JGB58,10663865,JRWD REBIRTH RUMB N RMPAGE DISTORTUS REX,"1,199,900 ",BOYS CONSIGNMENT
JCH09,10663864,JRWD HAMMOND COLLECTION SPINOSAURUS,"1,399,900 ",BOYS CONSIGNMENT
JGL60,10663866,MATC JW DIE-CAST 5 CAR PACK,"179,900 ",BOYS CONSIGNMENT
JGL74,10663867,MATC JW DIE-CAST TRANSPORTER ASST,"179,900 ",BOYS CONSIGNMENT
JGT89,10663963,UNOX-STACKO REFRESH JGT89,"249,900 ",FAMILY FUN CONSIGNMENT
HRD73,10663966,POLP-OTG FUN PLAYSET ASST HRD73,"89,900 ",GIRLS CONSIGNMENT
HNF50,10663965,POLP-FASHION ACESSORIES PLAYSET HNF50,"99,900 ",GIRLS CONSIGNMENT
JCB24,10663967,POLP-KEEPSAKE COLLECTION ASST JCB24,"149,900 ",GIRLS CONSIGNMENT
HKV88,10663964,POLP-MEDIUM FASHION PACK ASST HKV88,"149,900 ",GIRLS CONSIGNMENT
JCR44,10663969,POLP-TINY TAKEOUT REVEAL ASST JCR44,"179,900 ",GIRLS CONSIGNMENT
JFG56,10663970,POLP-SLEEPOVER PUPPY COMPACT ASST JFG56,"329,900 ",GIRLS CONSIGNMENT
JCC14,10663968,POLP-CARE BEARS PLAYSET JCC14,"349,900 ",GIRLS CONSIGNMENT
GTJ58,10663846,FICE-FP INFANT SIT STAND STORYBOOK GTJ58,"1,699,900 ",BABIES CONSIGNMENT
HJL21,10663847,THOM-TF PLASTIC ENGINE ASST HJL21,"39,900 ",BABIES CONSIGNMENT
958765,10665660,BBX S1 BX-40 Winder Launcher L,"199,900 ",BOYS CONSIGNMENT
939511,10665655,BBX S1 BX-39 Random Booster,"229,900 ",BOYS CONSIGNMENT
939627,10665658,BBX S1 CX-05 Random Booster Vol. 06,"229,900 ",BOYS CONSIGNMENT
939573,10665657,BBX S1 UX-13 Booster Golem Rock 1-60UN,"229,900 ",BOYS CONSIGNMENT
958499,10665659,BBX S1 UX-14 Starter Scorpio Spear 0-70Z,"349,900 ",BOYS CONSIGNMENT
939535,10665656,BBX S1 UX-09 Samurai Saber 2-70L,"449,900 ",BOYS CONSIGNMENT
980841,10665661,BBX S1 BXG-29 Marvel Starter: Spiderman & Venom,"499,900 ",BOYS CONSIGNMENT
980858,10665662,BBX S1 BXG-30 Marvel Starter: Iron Man & Thanos,"499,900 ",BOYS CONSIGNMENT
982340,10665663,BBX S1 BXG-33 Star Wars Starter: Luke Skywalker & Darth Vader,"499,900 ",BOYS CONSIGNMENT
982456,10665664,BBX S1 BXG-36 Transformers Starter: Optimus Prime & Megatron,"499,900 ",BOYS CONSIGNMENT
982487,10665665,BBX S1 BXG-37 Transformers Starter: Optimus Primal & Starscream,"499,900 ",BOYS CONSIGNMENT
23530,10665158,COMR-HKIT N FRIENDS TOASTY TREATZ 23530,"299,900 ",GIRLS CONSIGNMENT
23528,10665159,COMR-HKIT N FRIENDS OVEN PLAYSET 23528,"1,199,900 ",GIRLS CONSIGNMENT
6073657,10662424,DCCO-SUPERMAN 12 FIGURE,"269,900 ",BOYS CONSIGNMENT
6073290,10662423,DCCO-SUPERMAN 6 CHARACTER ASST,"269,900 ",BOYS CONSIGNMENT
6073319,10662426,DCCO-SUPERMAN 6 EPIC STRIKE SUPERMAN,"429,900 ",BOYS CONSIGNMENT
6073201,10662425,DCCO-SUPERMAN POWER CAPE SET,"429,900 ",BOYS CONSIGNMENT
6073195,10662427,DCCO-SUPERMAN 6 KAIJU BATTLE PACK,"899,900 ",BOYS CONSIGNMENT
6073191,10662428,DCCO-SUPERMAN HANDHELD FLYING KRYPTO,"949,900 ",BOYS CONSIGNMENT
6074171,10662662,DRAG-DRAG FIG CORE DRAGONS ASST 66661,"299,900 ",BOYS CONSIGNMENT
6074363,10662663,DRAG-DRAG FIG CORE DRAGONS TOOTHLESS SOL,"299,900 ",BOYS CONSIGNMENT
6072698,10662660,DRAG-12 TOOTHLESS 66668,"329,900 ",BOYS CONSIGNMENT
